"site","latitude","longitude"
"jernovel",32.6360427223867,-106.835091304948
"jernovel",32.6360427223867,-106.833010300475
"jernovel",32.6360427223867,-106.830929296002
"jernovel",32.6360427223867,-106.828848291529
"jernovel",32.6342902636612,-106.837172309421
"jernovel",32.6342902636612,-106.835091304948
"jernovel",32.6342902636612,-106.833010300475
"jernovel",32.6342902636612,-106.830929296002
"jernovel",32.6342902636612,-106.828848291529
"jernovel",32.6325377706105,-106.837172309421
"jernovel",32.6325377706105,-106.835091304948
"jernovel",32.6325377706105,-106.833010300475
"jernovel",32.6325377706105,-106.830929296002
"jernovel",32.6325377706105,-106.828848291529
"jernovel",32.6307852432356,-106.837172309421
"jernovel",32.6307852432356,-106.835091304948
"jernovel",32.6307852432356,-106.833010300475
"jernovel",32.6307852432356,-106.830929296002
"jernovel",32.6307852432356,-106.828848291529
"jernwern",32.6297751948788,-106.742753904358
"jernwern",32.6297751948788,-106.740672899886
"jernwern",32.6297751948788,-106.738591895413
"jernwern",32.6297751948788,-106.73651089094
"jernwern",32.6297751948788,-106.734429886467
"jernwern",32.6280226133997,-106.742753904358
"jernwern",32.6280226133997,-106.740672899886
"jernwern",32.6280226133997,-106.738591895413
"jernwern",32.6280226133997,-106.73651089094
"jernwern",32.6280226133997,-106.734429886467
"jernwern",32.6262699975988,-106.742753904358
"jernwern",32.6262699975988,-106.740672899886
"jernwern",32.6262699975988,-106.738591895413
"jernwern",32.6262699975988,-106.73651089094
"jernwern",32.6262699975988,-106.734429886467
"jernwern",32.6245173474772,-106.742753904358
"jernwern",32.6245173474772,-106.740672899886
"jernwern",32.6245173474772,-106.738591895413
"jernwern",32.6245173474772,-106.73651089094
"jernwern",32.6245173474772,-106.734429886467
"jernwern",32.6227646630359,-106.742753904358
"jernwern",32.6227646630359,-106.740672899886
"jernwern",32.6227646630359,-106.738591895413
"jernwern",32.6227646630359,-106.73651089094
"jernwern",32.6227646630359,-106.734429886467
"jersand",32.5187149627107,-106.801507956616
"jersand",32.5187149627107,-106.799426952143
"jersand",32.5187149627107,-106.79734594767
"jersand",32.5187149627107,-106.795264943197
"jersand",32.5187149627107,-106.793183938724
"jersand",32.5169602095239,-106.801507956616
"jersand",32.5169602095239,-106.799426952143
"jersand",32.5169602095239,-106.79734594767
"jersand",32.5169602095239,-106.795264943197
"jersand",32.5169602095239,-106.793183938724
"jersand",32.515205422077,-106.801507956616
"jersand",32.515205422077,-106.799426952143
"jersand",32.515205422077,-106.79734594767
"jersand",32.515205422077,-106.795264943197
"jersand",32.515205422077,-106.793183938724
"jersand",32.5134506003709,-106.801507956616
"jersand",32.5134506003709,-106.799426952143
"jersand",32.5134506003709,-106.79734594767
"jersand",32.5134506003709,-106.795264943197
"jersand",32.5134506003709,-106.793183938724
"jersand",32.5116957444067,-106.801507956616
"jersand",32.5116957444067,-106.799426952143
"jersand",32.5116957444067,-106.79734594767
"jersand",32.5116957444067,-106.795264943197
"jersand",32.5116957444067,-106.793183938724
"jershrubland",32.6545082405862,-106.837583671123
"jershrubland",32.6545082405862,-106.83550266665
"jershrubland",32.6545082405862,-106.833421662177
"jershrubland",32.6545082405862,-106.831340657704
"jershrubland",32.6545082405862,-106.829259653231
"jershrubland",32.6527561436419,-106.837583671123
"jershrubland",32.6527561436419,-106.83550266665
"jershrubland",32.6527561436419,-106.833421662177
"jershrubland",32.6527561436419,-106.831340657704
"jershrubland",32.6527561436419,-106.829259653231
"jershrubland",32.6510040123622,-106.837583671123
"jershrubland",32.6510040123622,-106.83550266665
"jershrubland",32.6510040123622,-106.833421662177
"jershrubland",32.6510040123622,-106.831340657704
"jershrubland",32.6510040123622,-106.829259653231
"jershrubland",32.6492518467481,-106.837583671123
"jershrubland",32.6492518467481,-106.83550266665
"jershrubland",32.6492518467481,-106.833421662177
"jershrubland",32.6492518467481,-106.831340657704
"jershrubland",32.6492518467481,-106.829259653231
"jershrubland",32.6474996468006,-106.837583671123
"jershrubland",32.6474996468006,-106.83550266665
"jershrubland",32.6474996468006,-106.833421662177
"jershrubland",32.6474996468006,-106.831340657704
"jershrubland",32.6474996468006,-106.829259653231
"NEON.D14.JORN.DP1.00033",32.5939233756769,-106.847737515063
"NEON.D14.JORN.DP1.00033",32.5939233756769,-106.84565651059
"NEON.D14.JORN.DP1.00033",32.5939233756769,-106.843575506117
"NEON.D14.JORN.DP1.00033",32.5939233756769,-106.841494501644
"NEON.D14.JORN.DP1.00033",32.5939233756769,-106.839413497171
"NEON.D14.JORN.DP1.00033",32.5921700924195,-106.847737515063
"NEON.D14.JORN.DP1.00033",32.5921700924195,-106.84565651059
"NEON.D14.JORN.DP1.00033",32.5921700924195,-106.843575506117
"NEON.D14.JORN.DP1.00033",32.5921700924195,-106.841494501644
"NEON.D14.JORN.DP1.00033",32.5921700924195,-106.839413497171
"NEON.D14.JORN.DP1.00033",32.5904167748603,-106.847737515063
"NEON.D14.JORN.DP1.00033",32.5904167748603,-106.84565651059
"NEON.D14.JORN.DP1.00033",32.5904167748603,-106.843575506117
"NEON.D14.JORN.DP1.00033",32.5904167748603,-106.841494501644
"NEON.D14.JORN.DP1.00033",32.5904167748603,-106.839413497171
"NEON.D14.JORN.DP1.00033",32.5886634230001,-106.847737515063
"NEON.D14.JORN.DP1.00033",32.5886634230001,-106.84565651059
"NEON.D14.JORN.DP1.00033",32.5886634230001,-106.843575506117
"NEON.D14.JORN.DP1.00033",32.5886634230001,-106.841494501644
"NEON.D14.JORN.DP1.00033",32.5886634230001,-106.839413497171
"NEON.D14.JORN.DP1.00033",32.58691003684,-106.847737515063
"NEON.D14.JORN.DP1.00033",32.58691003684,-106.84565651059
"NEON.D14.JORN.DP1.00033",32.58691003684,-106.843575506117
"NEON.D14.JORN.DP1.00033",32.58691003684,-106.841494501644
"NEON.D14.JORN.DP1.00033",32.58691003684,-106.839413497171
"NEON.D14.JORN.DP1.00042",32.5939233756769,-106.847737515063
"NEON.D14.JORN.DP1.00042",32.5939233756769,-106.84565651059
"NEON.D14.JORN.DP1.00042",32.5939233756769,-106.843575506117
"NEON.D14.JORN.DP1.00042",32.5939233756769,-106.841494501644
"NEON.D14.JORN.DP1.00042",32.5939233756769,-106.839413497171
"NEON.D14.JORN.DP1.00042",32.5921700924195,-106.847737515063
"NEON.D14.JORN.DP1.00042",32.5921700924195,-106.84565651059
"NEON.D14.JORN.DP1.00042",32.5921700924195,-106.843575506117
"NEON.D14.JORN.DP1.00042",32.5921700924195,-106.841494501644
"NEON.D14.JORN.DP1.00042",32.5921700924195,-106.839413497171
"NEON.D14.JORN.DP1.00042",32.5904167748603,-106.847737515063
"NEON.D14.JORN.DP1.00042",32.5904167748603,-106.84565651059
